# Ant nr. 1 total distance.	# Ant nr. 1 total Y distance.
19.1022	19.1021
# Ant nr. 2 total distance.	# Ant nr. 2 total Y distance.
19.6648	-19.6647
# Ant nr. 3 total distance.	# Ant nr. 3 total Y distance.
19.9698	19.9697
# Ant nr. 4 total distance.	# Ant nr. 4 total Y distance.
18.6782	3.70478
# Ant nr. 5 total distance.	# Ant nr. 5 total Y distance.
19.1686	18.4636
# Ant nr. 6 total distance.	# Ant nr. 6 total Y distance.
19.1449	13.4163
# Ant nr. 7 total distance.	# Ant nr. 7 total Y distance.
19.7364	19.736
# Ant nr. 8 total distance.	# Ant nr. 8 total Y distance.
18.0859	2.26686
# Ant nr. 9 total distance.	# Ant nr. 9 total Y distance.
20.1172	-20.1172
# Ant nr. 10 total distance.	# Ant nr. 10 total Y distance.
17.9048	5.99573
# Ant nr. 11 total distance.	# Ant nr. 11 total Y distance.
20.0412	-20.0412
# Ant nr. 12 total distance.	# Ant nr. 12 total Y distance.
19.4507	19.4502
# Ant nr. 13 total distance.	# Ant nr. 13 total Y distance.
19.9011	-19.9009
# Ant nr. 14 total distance.	# Ant nr. 14 total Y distance.
18.9965	-2.28226
# Ant nr. 15 total distance.	# Ant nr. 15 total Y distance.
20.0581	-20.0581
# Ant nr. 16 total distance.	# Ant nr. 16 total Y distance.
19.8309	-19.8309
# Ant nr. 17 total distance.	# Ant nr. 17 total Y distance.
19.6737	-19.6735
# Ant nr. 18 total distance.	# Ant nr. 18 total Y distance.
20.0481	-20.0481
# Ant nr. 19 total distance.	# Ant nr. 19 total Y distance.
19.9526	19.9526
# Ant nr. 20 total distance.	# Ant nr. 20 total Y distance.
19.8932	-19.8931
