#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0.0271999	-0.0210213	0.0343762
0.0591707	-0.0394135	0.0710957
0.0803963	-0.0656365	0.103787
0.119466	-0.0768107	0.142028
0.140744	-0.121488	0.185926
0.166821	-0.152432	0.225975
0.183429	-0.175137	0.253612
0.199423	-0.196117	0.279699
0.203681	-0.196433	0.28297
0.222114	-0.218351	0.311467
0.247605	-0.235064	0.341414
0.267194	-0.259858	0.372719
0.281099	-0.304898	0.414704
0.288574	-0.344281	0.449227
0.2955	-0.387277	0.487139
0.321073	-0.416842	0.526161
0.340469	-0.443885	0.559422
0.354566	-0.472849	0.591018
0.360141	-0.502807	0.618479
0.374465	-0.526938	0.646442
0.383707	-0.559132	0.67813
0.411374	-0.600454	0.727855
0.430748	-0.632857	0.76554
0.430341	-0.657357	0.785692
0.431651	-0.683581	0.808459
0.445865	-0.705326	0.834434
0.465544	-0.730197	0.865978
0.47123	-0.751751	0.887235
0.489108	-0.774798	0.916264
0.500336	-0.811674	0.953494
0.537216	-0.843289	0.999869
0.558861	-0.876329	1.03936
0.593683	-0.894331	1.07345
0.611451	-0.917064	1.10221
0.629181	-0.930996	1.12367
0.627199	-0.931961	1.12336
0.601989	-0.937205	1.11389
0.564368	-0.93507	1.09218
0.543667	-0.90196	1.05314
0.53119	-0.878922	1.02697
0.506652	-0.848233	0.988027
0.491533	-0.813219	0.950227
0.481323	-0.782948	0.919064
0.479125	-0.749171	0.889279
0.470346	-0.7197	0.859764
0.474565	-0.721534	0.86361
0.483996	-0.741532	0.885507
0.508584	-0.768461	0.921515
0.520092	-0.797827	0.952378
0.550653	-0.833982	0.999372
0.563981	-0.877298	1.04294
0.586386	-0.903844	1.0774
0.61477	-0.924573	1.11031
0.635235	-0.951713	1.14424
0.670124	-0.975726	1.18368
0.695322	-1.0045	1.22168
0.715414	-1.03002	1.2541
0.727185	-1.05698	1.28297
0.757345	-1.06695	1.30842
0.789816	-1.08062	1.33848
0.807433	-1.10838	1.37129
0.824368	-1.13074	1.39934
0.827825	-1.13716	1.40657
0.844276	-1.16212	1.43642
0.874856	-1.18511	1.47305
0.898003	-1.21755	1.51289
0.912665	-1.24945	1.54728
0.908005	-1.28555	1.57388
0.927702	-1.31987	1.61329
0.911919	-1.3465	1.62624
0.90679	-1.37905	1.65047
0.915291	-1.40044	1.67302
0.929429	-1.42688	1.70288
0.938371	-1.4481	1.72555
0.947414	-1.48072	1.75787
0.964237	-1.50855	1.79038
0.990689	-1.53541	1.82728
1.00213	-1.56424	1.85772
1.00379	-1.60324	1.89156
