# AntVel X	# AntVel Y	# Speed	
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
0.0626154	0.00270852	0.0626739
