# AntPos X	# AntPos Y	# Distance form nest	
0.0170157	0.00646505	0.0182025
0.0385075	0.0153401	0.0414505
0.0618195	0.0253146	0.0668018
0.0854347	0.0362028	0.0927886
0.110041	0.0478333	0.119987
0.136162	0.0588596	0.148339
0.162927	0.0694157	0.177098
0.189253	0.0794234	0.205243
0.217231	0.0903278	0.235263
0.244247	0.101288	0.264416
0.271401	0.114185	0.294443
0.298106	0.126924	0.324001
0.324392	0.138624	0.35277
0.350565	0.150264	0.381412
0.376214	0.161945	0.409588
0.403608	0.172926	0.439093
0.430263	0.183437	0.467735
0.456579	0.193422	0.495859
0.482882	0.203397	0.523971
0.507401	0.213339	0.550426
0.533576	0.223682	0.578565
0.55946	0.234389	0.606575
0.583232	0.243435	0.631997
0.607844	0.255125	0.659214
0.632259	0.266457	0.686113
0.657071	0.278206	0.713541
0.682017	0.288182	0.740402
0.708169	0.296884	0.767883
0.734833	0.305191	0.795689
0.761854	0.313789	0.823945
0.78782	0.322724	0.851359
0.814295	0.331174	0.879063
0.840786	0.340055	0.90695
0.867366	0.349146	0.935001
0.894325	0.358264	0.963415
0.921492	0.366716	0.991781
0.950276	0.375678	1.02184
0.978148	0.384306	1.05093
1.00689	0.393206	1.08094
1.03474	0.402682	1.11033
1.062	0.411588	1.13897
1.08981	0.418178	1.16729
1.11866	0.424317	1.19643
1.14544	0.43056	1.22369
1.1726	0.436883	1.25134
1.19995	0.443267	1.27921
1.22824	0.449485	1.3079
1.25433	0.455655	1.33453
1.27934	0.461215	1.35993
1.30551	0.466785	1.38645
1.33174	0.472328	1.41302
1.35861	0.476183	1.43964
1.38548	0.479812	1.46622
1.41357	0.48423	1.49421
1.44309	0.489018	1.5237
1.47288	0.494401	1.55364
1.50043	0.499775	1.58148
1.52801	0.506475	1.60976
1.55427	0.514036	1.63707
1.58066	0.521668	1.66452
1.6073	0.529266	1.6922
1.6345	0.53584	1.72009
1.66231	0.542689	1.74866
1.68997	0.549388	1.77703
1.71617	0.557058	1.80432
1.74335	0.564129	1.83235
1.77054	0.569795	1.85997
1.79734	0.575208	1.88714
1.82429	0.580282	1.91436
1.85153	0.585465	1.94189
1.87798	0.591066	1.9688
1.90559	0.597316	1.99701
1.9329	0.603809	2.02501
1.9584	0.608342	2.05071
1.98483	0.613649	2.07753
2.01199	0.619561	2.10522
2.03964	0.624901	2.13322
2.06785	0.630221	2.16176
2.09592	0.633712	2.18963
2.12362	0.638435	2.21752
2.1508	0.641485	2.24442
2.17857	0.647809	2.27285
2.20445	0.655319	2.29979
2.23002	0.661526	2.32607
2.25769	0.66817	2.35449
2.28545	0.674637	2.38295
2.31377	0.680221	2.41169
2.34099	0.68394	2.43885
2.36729	0.686527	2.46483
2.3952	0.688659	2.49223
2.42121	0.691295	2.51797
2.44817	0.693348	2.54446
2.47452	0.695576	2.57042
2.50021	0.697707	2.59573
2.52744	0.70061	2.62275
2.55508	0.703227	2.65009
2.58222	0.706228	2.67705
2.60943	0.709029	2.70404
2.63751	0.711544	2.73181
2.66489	0.714948	2.75912
