# AntVel X	# AntVel Y	# Speed	
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
0.099661	0.0918011	0.135498
