# AntPos X	# AntPos Y	# Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.00359273	-0.0158345	0.016237
0.00853606	-0.0369202	0.0378941
0.0118909	-0.0621141	0.063242
0.0153698	-0.0883807	0.0897072
0.0208664	-0.116459	0.118313
0.0279871	-0.144324	0.147012
0.034906	-0.170692	0.174225
0.0416068	-0.197554	0.201887
0.0476703	-0.224496	0.229502
0.0538549	-0.251539	0.25724
0.0608313	-0.279328	0.285875
0.067736	-0.3069	0.314286
0.0746107	-0.334381	0.342604
0.0810964	-0.361376	0.370364
0.0874321	-0.388487	0.398204
0.0945249	-0.414301	0.424947
0.101755	-0.442417	0.453968
0.107604	-0.470489	0.482637
0.113356	-0.49835	0.511079
0.118331	-0.526015	0.53916
0.124246	-0.55472	0.568464
0.129523	-0.582872	0.59709
0.134449	-0.610603	0.62523
0.138428	-0.639214	0.654031
0.141377	-0.665816	0.68066
0.14443	-0.69331	0.708194
0.148159	-0.721005	0.73607
0.152879	-0.749334	0.76477
0.157553	-0.778204	0.793993
0.161384	-0.806005	0.822003
0.164914	-0.833031	0.849198
0.167583	-0.861224	0.877377
0.171513	-0.890286	0.906656
0.174492	-0.918448	0.934876
0.174957	-0.947008	0.963034
0.174925	-0.976188	0.991737
0.175676	-1.00564	1.02087
0.176231	-1.03434	1.04925
0.176716	-1.0634	1.07798
0.176516	-1.0915	1.10568
0.176849	-1.11837	1.13227
0.177548	-1.14722	1.16088
0.17994	-1.17518	1.18887
0.182204	-1.20327	1.21699
0.18603	-1.23113	1.24511
0.188437	-1.25696	1.271
0.190499	-1.28457	1.29862
0.19042	-1.31365	1.32738
0.190855	-1.34262	1.35612
0.192418	-1.37131	1.38475
0.196016	-1.4022	1.41583
0.19911	-1.43231	1.44608
0.202188	-1.4616	1.47552
0.205564	-1.49103	1.50513
0.208578	-1.51934	1.53359
0.211834	-1.5489	1.56332
0.214734	-1.57805	1.59259
0.219039	-1.60754	1.62239
0.222179	-1.63671	1.65172
0.225276	-1.66569	1.68085
0.228389	-1.69435	1.70967
0.231682	-1.72257	1.73808
0.234577	-1.75025	1.7659
0.238079	-1.77551	1.7914
0.239976	-1.80349	1.81938
0.242003	-1.83115	1.84707
0.245487	-1.85865	1.87479
0.249554	-1.8873	1.90372
0.25351	-1.91528	1.93198
0.258549	-1.94265	1.95978
0.263996	-1.96952	1.98713
0.27028	-1.99826	2.01646
0.278309	-2.0255	2.04453
0.2864	-2.05239	2.07228
0.294335	-2.07936	2.10009
0.302058	-2.1065	2.12805
0.308485	-2.13523	2.1574
0.316724	-2.16372	2.18678
0.324764	-2.19155	2.21548
0.33238	-2.21919	2.24395
